society_name,price,location,area
Nakshatra I Land,₹42 Lac ,1 BHK Ready to Occupy Flat for sale  in Nakshatra I Land  Alandi Road,Carpet Area471 sqftStatusReady to MoveFloor1 out of 12TransactionResaleFurnishingUnfurnishedSocietyNakshatra I LandCar Parking107 CoveredBathroom1Balcony1
Swami Samruddhi,₹50 Lac ,1 BHK Ready to Occupy Flat for sale  in Swami Samruddhi  Undri,Carpet Area427 sqftStatusReady to MoveFloor4 out of 6TransactionResaleFurnishingSemi-FurnishedfacingEastoverlookingMain RoadSocietySwami SamruddhiBathroom1Balcony3
Gagan Emerald,₹85 Lac ,"3 BHK Ready to Occupy Flat for sale  in Gagan Emerald  Meeta Nagar, Kondhwa",Carpet Area1094 sqftStatusReady to MoveFloor10 out of 11TransactionResaleFurnishingUnfurnishedSocietyGagan EmeraldBathroom3
Gagan Emerald,₹85 Lac ,3 BHK Ready to Occupy Flat for sale  in Gagan Emerald  Kondhwa,Carpet Area1094 sqftStatusReady to MoveFloor10 out of 11TransactionResaleFurnishingUnfurnishedSocietyGagan EmeraldBathroom3
Gagan Horizon Akanksha,₹20 Lac ,1 BHK Ready to Occupy Flat for sale  in Gagan Horizon Akanksha  Uruli Kanchan,Carpet Area396 sqftStatusReady to MoveFloor5 out of 7TransactionResaleFurnishingUnfurnishedSocietyGagan Horizon AkankshaBathroom1
Gagan Horizon Akanksha,₹25 Lac ,1 BHK Ready to Occupy Flat for sale  in Gagan Horizon Akanksha  Uruli Kanchan,Carpet Area414 sqftStatusReady to MoveFloor4 out of 5TransactionResaleFurnishingFurnishedSocietyGagan Horizon AkankshaBathroom1
,₹36 Lac ,1 BHK Ready to Occupy Flat for sale  NIBM Annexe Area,Carpet Area441 sqftStatusReady to MoveFloor11 out of 11TransactionResaleFurnishingSemi-FurnishedBathroom1
Gagan 33,₹3.75 Cr ,3 BHK Ready to Occupy Flat for sale  in Gagan 33  Baner,Carpet Area3102 sqftStatusReady to MoveFloor5 out of 5TransactionResaleFurnishingUnfurnishedSocietyGagan 33Bathroom4
Estado Presidential,₹2.10 Cr ,"4 BHK Ready to Occupy Flat for sale  in Estado Presidential  Kiwale, Dehu Road",Carpet Area2414 sqftStatusReady to MoveFloor3 out of 6TransactionResaleFurnishingUnfurnishedSocietyEstado PresidentialBathroom5
Skyi Songbirds,₹90 Lac ,"2 BHK Ready to Occupy Flat for sale  in Skyi Songbirds  Bhugaon, Bavdhan",Carpet Area1008 sqftStatusReady to MoveFloor10 out of 11TransactionResaleFurnishingSemi-FurnishedSocietySkyi SongbirdsBathroom2
