society_name,price,location,area
,₹41.3 Lac ,"3 BHK Apartment for Sale in Mayfair Smart City Santorini, Tollygunge Kolkata South",Super Area1095 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyMayfair Smart City SantoriniCar Parking1 CoveredBathroom2
Diamond City South,₹1.12 Cr ,"3 BHK Apartment for Sale in Diamond City South, Tollygunge Kolkata South","Carpet Area1100 sqftStatusReady to MoveFloor15 out of 20TransactionResaleFurnishingUnfurnishedfacingSouth - EastoverlookingGarden/Park, Pool, Main RoadSocietyDiamond City SouthOwnershipFreeholdBathroom2Balcony1"
Bengal Peerless Avidipta,₹2 Cr ,"3 BHK Apartment for Sale in Bengal Peerless Avidipta, Eastern Metropolitan Bypass Kolkata South","Carpet Area1430 sqftStatusReady to MoveFloor7 out of 16TransactionResaleFurnishingUnfurnishedfacingSouthoverlookingGarden/Park, Pool, Main RoadSocietyBengal Peerless AvidiptaOwnershipFreeholdCar Parking1 CoveredBathroom3Balcony2"
,₹1.25 Cr ,4 BHK Villa for Sale in Sonarpur Station Road Kolkata South,Super Area1973 sqftUnder ConstructionPoss. by May '27TransactionNew PropertyFurnishingUnfurnishedfacingSouth - EastoverlookingMain RoadOwnershipFreeholdCar Parking1 CoveredBathroom5Balcony2
Vinayak Amara,₹2.47 Cr ,"4 BHK Apartment for Sale in Vinayak Amara, New Town Kolkata East",Carpet Area1516 sqftUnder ConstructionPoss. by Jul '29TransactionNew PropertyFurnishingUnfurnishedSocietyVinayak AmaraBathroom4Balcony1
Srijan Town Square,₹4.07 Cr ,"4 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata East",Super Area2979 sqftUnder ConstructionPoss. by Jan '28TransactionNew PropertyFurnishingUnfurnishedSocietySrijan Town SquareBathroom3Balcony2
DTC Still Waters,₹1.54 Cr ,"4 BHK Apartment for Sale in DTC Still Waters, New Town Kolkata East",Super Area2030 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedSocietyDTC Still WatersBathroom4Balcony2
PS Vaanya,₹3.27 Cr ,"4 BHK Apartment for Sale in PS Vaanya, New Town Kolkata East",Carpet Area2185 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyPS VaanyaBathroom4Balcony2
DTC Still Waters,₹1.48 Cr ,"4 BHK Apartment for Sale in DTC Still Waters, New Town Kolkata East",Super Area2030 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedSocietyDTC Still WatersBathroom4Balcony2
Siom Mani Casa 2,₹1.82 Cr ,"3 BHK Apartment for Sale in Siom Mani Casa 2, Action Area 2 Kolkata East",Carpet Area1166 sqftUnder ConstructionPoss. by Jun '26TransactionNew PropertyFurnishingUnfurnishedSocietySiom Mani Casa 2Bathroom2Balcony1
Siom Mani Casa 2,₹1.82 Cr ,"3 BHK Apartment for Sale in Siom Mani Casa 2, Action Area 2 Kolkata East",Carpet Area1166 sqftUnder ConstructionPoss. by Jun '26TransactionNew PropertyFurnishingUnfurnishedSocietySiom Mani Casa 2Bathroom2Balcony1
DTC Still Waters,₹88 Lac ,"3 BHK Apartment for Sale in DTC Still Waters, New Town Kolkata East",Super Area1160 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedSocietyDTC Still WatersBathroom2Balcony1
Srijan Town Square,₹2.75 Cr ,"3 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata East",Super Area2017 sqftUnder ConstructionPoss. by Jan '28TransactionNew PropertyFurnishingUnfurnishedSocietySrijan Town SquareBathroom2Balcony1
Ambuja Urvisha The Condoville,₹2.32 Cr ,"3 BHK Apartment for Sale in Ambuja Urvisha The Condoville, New Town Kolkata East",Super Area1717 sqftUnder ConstructionPoss. by Oct '26TransactionNew PropertyFurnishingUnfurnishedSocietyAmbuja Urvisha The CondovilleBathroom3Balcony3
PS Vaanya,₹3.25 Cr ,"4 BHK Apartment for Sale in PS Vaanya, New Town Kolkata East",Carpet Area2185 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyPS VaanyaBathroom4Balcony2
,₹1.10 Cr ,"4 BHK Apartment for Sale in Premier Co Operative Housing Society Ltd, Action Area 3 Kolkata East",Super Area1650 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyPremier Co Operative Housing Society LtdCar Parking1 CoveredBathroom3
,₹85.5 Lac ,"3 BHK Apartment for Sale in Neelkanth Chitrakut Greenville, New Town Kolkata East",Super Area1110 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyNeelkanth Chitrakut GreenvilleCar Parking1 CoveredBathroom2
,₹54.9 Lac ,"2 BHK Apartment for Sale in HIVE URBAN UTOPIA, New Town Kolkata East",Super Area997 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedSocietyHIVE URBAN UTOPIACar Parking1 CoveredBathroom2
Imagine Techpark,₹2.40 Cr ,"  Office Space for Sale in Imagine Techpark, Sector 5 Salt Lake City Kolkata East",Carpet Area1600 sqftStatusReady to MoveFloor18 out of 23TransactionNew PropertyCar Parking2 CoveredBathroom2
,₹4.50 Cr ,5 BHK Villa for Sale in Bantala Kolkata East,Carpet Area4000 sqftStatusReady to MoveTransactionResaleFurnishingFurnishedfacingSouthoverlookingGarden/ParkOwnershipFreeholdCar Parking1 CoveredBathroom5Balcony1
,₹27.8 Lac ,"2 BHK Apartment for Sale in Astdurga Meena Maple, Gouranganagar Kolkata East",Super Area795 sqftUnder ConstructionPoss. by Jan '27TransactionNew PropertyFurnishingUnfurnishedSocietyAstdurga Meena MapleBathroom2
Mani Casa,₹1.30 Cr ,"2 BHK Apartment for Sale in Mani Casa, New Town Kolkata East","Super Area880 sqftStatusReady to MoveFloor14 out of 23TransactionResaleFurnishingUnfurnishedfacingSouth - EastoverlookingGarden/Park, Main RoadSocietyMani CasaOwnershipFreeholdCar Parking1 CoveredBathroom2Balcony1"
DTC Still Waters,₹1.55 Cr ,"3 BHK Apartment for Sale in DTC Still Waters, New Town Kolkata East",Super Area1160 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedfacingSouth - EastoverlookingMain RoadSocietyDTC Still WatersOwnershipFreeholdBathroom2Balcony2
Alaktika Complex,₹1.60 Cr ,"4 BHK Apartment for Sale in Alaktika Complex, New Town Kolkata East","Super Area2238 sqftStatusReady to MoveFloor1 out of 9TransactionResaleFurnishingUnfurnishedfacingSouth - EastoverlookingGarden/Park, Main RoadSocietyAlaktika ComplexOwnershipLeaseholdBathroom3Balcony3"
,₹1.40 Cr ,  Office Space for Sale in New Town Kolkata East,Carpet Area840 sqftStatusReady to MoveFloor14 out of 14TransactionResaleCar Parking1 CoveredBathroom1
Mani Casadona,₹3 Cr ,"  Office Space for Sale in Mani Casadona, Action Area 2 Kolkata East",Carpet Area3238 sqftStatusReady to MoveFloor9 out of 19TransactionResaleCar Parking3 CoveredBathroom1
Ambuja Urvisha The Condoville,₹2.60 Cr ,"3 BHK Apartment for Sale in Ambuja Urvisha The Condoville, New Town Kolkata East","Carpet Area1299 sqftUnder ConstructionPoss. by Dec '26Floor8 out of 11TransactionNew PropertyFurnishingUnfurnishedfacingSouthoverlookingGarden/Park, Main RoadSocietyAmbuja Urvisha The CondovilleOwnershipFreeholdCar Parking1 CoveredBathroom2Balcony2"
Vinayak Amara,₹2.39 Cr ,"4 BHK Apartment for Sale in Vinayak Amara, New Town Kolkata East","Carpet Area1516 sqftUnder ConstructionPoss. by Jul '29Floor20 out of 27TransactionNew PropertyFurnishingUnfurnishedfacingSouth - EastoverlookingGarden/Park, Pool, Main RoadSocietyVinayak AmaraOwnershipFreeholdCar Parking1 CoveredBathroom4Balcony2"
Bengal Urbana Phase 2,₹7.50 Cr ,"4 BHK Apartment for Sale in Bengal Urbana Phase 2, Anandapur Kolkata East",Carpet Area2846 sqftUnder ConstructionPoss. by Dec '27Floor23 out of 45TransactionResaleFurnishingUnfurnishedfacingNorth - EastoverlookingMain RoadSocietyBengal Urbana Phase 2OwnershipLeaseholdCar Parking2 CoveredBathroom4Balcony2
Pasari and Deepam Marinas Edge,₹3.25 Cr ,"3 BHK Apartment for Sale in Pasari and Deepam Marinas Edge, Sector 5 Salt Lake City Kolkata East",Carpet Area1509 sqftUnder ConstructionPoss. by Mar '30Floor2 out of 15TransactionNew PropertyFurnishingUnfurnishedfacingSouth - EastSocietyPasari and Deepam Marinas EdgeOwnershipFreeholdCar Parking1 CoveredBathroom3Balcony1
Ambuja Urvisha The Condoville,₹2.55 Cr ,"3 BHK Apartment for Sale in Ambuja Urvisha The Condoville, Action Area 1 Kolkata East",Super Area1717 sqftUnder ConstructionPoss. by Dec '26Floor6 out of 11TransactionResaleFurnishingSemi-FurnishedoverlookingPoolSocietyAmbuja Urvisha The CondovilleOwnershipFreeholdBathroom3Balcony2
,₹3.20 Cr ,4 BHK Apartment for Sale in New Town Kolkata East,"Super Area2917 sqftUnder ConstructionPoss. by Jul '28TransactionNew PropertyFurnishingUnfurnishedfacingNorth - EastoverlookingGarden/Park, Main RoadOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony1"
PS Vaanya,₹5.60 Cr ,"5 BHK Apartment for Sale in PS Vaanya, New Town Kolkata East","Super Area4400 sqftUnder ConstructionPoss. by Dec '27TransactionResaleFurnishingUnfurnishedfacingNorth - EastoverlookingGarden/Park, Main RoadSocietyPS VaanyaOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony1"
Srijan Town Square,₹3.75 Cr ,"4 BHK Apartment for Sale in Srijan Town Square, New Town Kolkata East",Super Area2703 sqftUnder ConstructionPoss. by Dec '28Floor9 out of 15TransactionNew PropertyFurnishingUnfurnishedfacingSouth - EastSocietySrijan Town SquareOwnershipFreeholdCar Parking1 CoveredBathroom3Balcony2
Sun Skyview,₹72.7 Lac ,"3 BHK Apartment for Sale in Sun Skyview, Shela Ahmedabad",Carpet Area931 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietySun SkyviewBathroom3Balcony1
Safal Riviera Aspire,₹1.64 Cr ,"3 BHK Apartment for Sale in Safal Riviera Aspire, Shela Ahmedabad",Carpet Area1507 sqftTransactionNew PropertyFurnishingUnfurnishedSocietySafal Riviera AspireBathroom3Balcony1
Planet,₹73.1 Lac ,"3 BHK Apartment for Sale in Planet, Shela Ahmedabad",Carpet Area968 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietyPlanetBathroom3Balcony1
Riviera Majestica,₹3.02 Cr ,"5 BHK Apartment for Sale in Riviera Majestica, Shela Ahmedabad",Carpet Area2772 sqftUnder ConstructionPoss. by Oct '26TransactionNew PropertyFurnishingUnfurnishedSocietyRiviera MajesticaBathroom5Balcony1
Vishwanath Maher Select,₹85 Lac ,"3 BHK Apartment for Sale in Vishwanath Maher Select, Shela Ahmedabad",Carpet Area952 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedSocietyVishwanath Maher SelectBathroom3Balcony1
Turquoise Rosedale,₹75 Lac ,"3 BHK Apartment for Sale in Turquoise Rosedale, Shela Ahmedabad",Carpet Area856 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyTurquoise RosedaleBathroom3Balcony1
Riviera Majestica,₹3.02 Cr ,"5 BHK Apartment for Sale in Riviera Majestica, Shela Ahmedabad",Carpet Area2772 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyRiviera MajesticaBathroom5Balcony1
Safal Niwa,₹79.3 Lac ,"3 BHK Apartment for Sale in Safal Niwa, Shela Ahmedabad",Carpet Area862 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedSocietySafal NiwaBathroom3Balcony1
Safal Niwa,₹1.50 Cr ,"4 BHK Apartment for Sale in Safal Niwa, Shela Ahmedabad",Carpet Area1452 sqftTransactionNew PropertyFurnishingUnfurnishedSocietySafal NiwaBathroom4Balcony1
Riviera Majestica,₹3.02 Cr ,"5 BHK Apartment for Sale in Riviera Majestica, Shela Ahmedabad",Carpet Area2772 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedSocietyRiviera MajesticaBathroom5Balcony1
Vishwanath Maher Select,₹85 Lac ,"3 BHK Apartment for Sale in Vishwanath Maher Select, Shela Ahmedabad",Carpet Area952 sqftTransactionNew PropertyFurnishingUnfurnishedSocietyVishwanath Maher SelectBathroom3Balcony1
Safal Niwa,₹1.50 Cr ,"4 BHK Apartment for Sale in Safal Niwa, Shela Ahmedabad",Carpet Area1452 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedSocietySafal NiwaBathroom4Balcony1
,₹81.1 Lac ,"3 BHK Apartment for Sale in Elenza Castle, Shela Ahmedabad",Super Area1700 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedSocietyElenza CastleCar Parking1 CoveredBathroom3
,₹73.1 Lac ,3 BHK Apartment for Sale in Shela Ahmedabad,"Carpet Area822 sqftUnder ConstructionPoss. by Dec '30Floor9 out of 14TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, PoolOwnershipFreeholdCar Parking1 CoveredBathroom3Balcony1"
Riviera Majestica,₹2.27 Cr ,"4 BHK Apartment for Sale in Riviera Majestica, Shela Ahmedabad","Carpet Area1858 sqftUnder ConstructionPoss. by Dec '27Floor18 out of 32TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadSocietyRiviera MajesticaOwnershipFreeholdCar Parking1 CoveredBathroom4Balcony1"
Armonia Sky,₹51 Lac ,"2 BHK Apartment for Sale in Armonia Sky, Shela Ahmedabad",Super Area1390 sqftUnder ConstructionPoss. by May '29Floor10 out of 22TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingMain RoadSocietyArmonia SkyOwnershipFreeholdCar Parking1 CoveredBathroom2Balcony1
Riviera Palacio,₹4.59 Cr ,"4 BHK Apartment for Sale in Riviera Palacio, Shela Ahmedabad",Carpet Area3815 sqftUnder ConstructionPoss. by Apr '28Floor20 out of 35TransactionNew PropertyFurnishingUnfurnishedSocietyRiviera PalacioBathroom5Balcony2
Swati Trinity,₹8.22 Cr ,"  Showroom for Sale in Swati Trinity, Shela Ahmedabad",Super Area8951 sqftStatusReady to MoveFloor3 out of 14TransactionResaleCar Parking5 CoveredBathroom2
Orchid Valley,₹68.4 Lac ,"  Shop for Sale in Orchid Valley, Shela Ahmedabad",Super Area472 sqftStatusReady to MoveFloorGround out of 14TransactionNew PropertyCar Parking1 Open
Aravalli By Ratnaakar,₹9.75 Cr ,"4 BHK Villa for Sale in Aravalli By Ratnaakar, Shela Ahmedabad",Super Area855 sqyrdUnder ConstructionPoss. by May '26TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/ParkOwnershipFreeholdSocietyAravalli By RatnaakarCar Parking2 CoveredBathroom5Balcony3
Safal Riviera Aspire,₹2.35 Cr ,"3 BHK Apartment for Sale in Safal Riviera Aspire, Shela Ahmedabad","Carpet Area1611 sqftStatusReady to MoveFloorGround out of 21TransactionResaleFurnishingFurnishedfacingEastoverlookingGarden/Park, Main RoadSocietySafal Riviera AspireOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony1"
Safal Niwa,₹1.46 Cr ,"4 BHK Apartment for Sale in Safal Niwa, Shela Ahmedabad","Carpet Area1558 sqftUnder ConstructionPoss. by Dec '30Floor16 out of 21TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadSocietySafal NiwaOwnershipFreeholdCar Parking1 Covered,Bathroom4Balcony1"
Safal Riviera Aspire,₹3.20 Cr ,"4 BHK Penthouse for Sale in Safal Riviera Aspire, Shela Ahmedabad",Carpet Area2738 sqftStatusReady to MoveFloor20 out of 21TransactionResaleFurnishingUnfurnishedfacingEastoverlookingMain RoadSocietySafal Riviera AspireOwnershipFreeholdCar Parking2 CoveredBathroom4Balcony1
Shilp Revanta,₹60.4 Lac ,"3 BHK Apartment for Sale in Shilp Revanta, Shela Ahmedabad","Super Area1510 sqftStatusReady to MoveFloor6 out of 14TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Pool, Main RoadSocietyShilp RevantaOwnershipFreeholdCar Parking1 CoveredBathroom3Balcony1"
,₹1.43 Cr ,3 BHK Apartment for Sale in Shela Ahmedabad,"Super Area2645 sqftUnder ConstructionPoss. by May '27Floor8 out of 14TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadOwnershipFreeholdCar Parking2 CoveredBathroom3Balcony2"
Vraj Garden,₹7.15 Cr ,"  Plot/Land for Sale in Vraj Garden, Shela Ahmedabad","Plot Area8586 sqftDimensions (L X B)90 X 95.4OwnershipFreeholdTransactionResalefloors allowed for construction3Open Sides4Width of road facing the plot9 moverlookingGarden/Park, Main RoadBoundaryYes"
Goyal Riviera Elite,₹2.93 Cr ,"4 BHK Apartment for Sale in Goyal Riviera Elite, Shela Ahmedabad","Carpet Area2052 sqftStatusReady to MoveFloor10 out of 21TransactionResaleFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadSocietyGoyal Riviera EliteOwnershipFreeholdCar Parking2 Covered,Bathroom4Balcony1"
Turquoise Greenz,₹79 Lac ,"3 BHK Apartment for Sale in Turquoise Greenz, Shela Ahmedabad","Super Area1700 sqftStatusReady to MoveFloor7 out of 14TransactionResaleFurnishingUnfurnishedfacingNorth - EastoverlookingMain RoadSocietyTurquoise GreenzOwnershipFreeholdCar Parking1 Covered,Bathroom3Balcony3"
Green Legacy,₹87 Lac ,"3 BHK Apartment for Sale in Green Legacy, Shela Ahmedabad","Super Area1850 sqftUnder ConstructionPoss. by Dec '28Floor8 out of 14TransactionNew PropertyFurnishingUnfurnishedfacingEastoverlookingGarden/Park, Main RoadSocietyGreen LegacyOwnershipFreeholdCar Parking1 Covered,Bathroom3Balcony1"
Turquoise Rosedale,₹75 Lac ,"3 BHK Apartment for Sale in Turquoise Rosedale, Shela Ahmedabad","Carpet Area856 sqftUnder ConstructionPoss. by Dec '29Floor4 out of 10TransactionResaleFurnishingUnfurnishedoverlookingMain RoadSocietyTurquoise RosedaleOwnershipFreeholdCar Parking1 Covered,Bathroom3Balcony1"
,₹64.6 Lac ,2 BHK Apartment for Sale in Kelambakkam Chennai,Super Area993 sqftUnder ConstructionPoss. by Aug '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2
,₹1.45 Cr ,3 BHK Apartment for Sale in Tondiarpet Chennai,Super Area1609 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3
DRA Infinique,₹2.40 Cr ,4 BHK Apartment for Sale in Valasaravakkam Chennai,Super Area2058 sqftUnder ConstructionPoss. by Dec '26TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
Prestige Pallava Gardens,₹1.75 Cr ,3 BHK Apartment for Sale in Pallavaram Chennai,Carpet Area1018 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
Sameera Elite Garden,₹1.51 Cr ,  Plot/Land for Sale in Poonamallee Chennai,Plot Area1888 sqftUnder ConstructionPoss. by Dec '29TransactionNew Property
Radiance Eternity,₹3.37 Cr ,4 BHK Apartment for Sale in Thoraipakkam Chennai,Super Area2711 sqftUnder ConstructionPoss. by May '30TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony2
Sameera New Vision Township,₹1.41 Cr ,  Plot/Land for Sale in East Tambaram Chennai,Plot Area2666 sqftTransactionNew Property
The World Of Joy,₹70.1 Lac ,3 BHK Apartment for Sale in Siruseri Chennai,Carpet Area635 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
Casagrand Avenue Park,₹1.97 Cr ,3 BHK Apartment for Sale in Perungudi Chennai,Super Area2104 sqftUnder ConstructionPoss. by Jul '26TransactionNew PropertyFurnishingUnfurnishedBathroom3
Gnanasundaram Kokilam,₹1.29 Cr ,3 BHK Apartment for Sale in Velachery Chennai,Super Area1357 sqftTransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Brigade Altius,₹6.91 Cr ,4 BHK Apartment for Sale in Sholinganallur Chennai,Super Area5054 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony4
TVS Emerald Verde Vista,₹1.08 Cr ,3 BHK Apartment for Sale in Padur Chennai,Carpet Area1200 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Prestige Pallava Gardens,₹1.75 Cr ,3 BHK Apartment for Sale in Pallavaram Chennai,Carpet Area1018 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
VR Fortuna,₹36 Lac ,  Plot/Land for Sale in Poonamallee Chennai,Plot Area800 sqftUnder ConstructionPoss. by Apr '26TransactionNew Property
Shriram 122 West,₹77.8 Lac ,3 BHK Apartment for Sale in Mangadu Chennai,Super Area1157 sqftTransactionNew PropertyFurnishingUnfurnishedBathroom2
Urbanrise The Lakes Edge,₹96.1 Lac ,2 BHK Apartment for Sale in Madhavaram Chennai,Super Area1160 sqftUnder ConstructionPoss. by Sep '28TransactionNew PropertyFurnishingUnfurnishedBathroom2Balcony1
Budget Aadhavan Garden,₹32.9 Lac ,  Plot/Land for Sale in Parandur Chennai,Plot Area1566 sqftTransactionNew Property
Urbanrise Whispers of Sky,₹1.82 Cr ,4 BHK Apartment for Sale in Sholinganallur Chennai,Carpet Area1063 sqftUnder ConstructionPoss. by Sep '30TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Quoins White Town Villas,₹1.24 Cr ,4 BHK Villa for Sale in Guduvancherry Chennai,Super Area1780 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom3Balcony2
Brigade Altius,₹2.54 Cr ,3 BHK Apartment for Sale in Sholinganallur Chennai,Super Area1857 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Rohaan Daisy Garden,₹82.7 Lac ,3 BHK Builder Floor for Sale in Perumbakkam Chennai,Super Area1088 sqftTransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom2
Provident Bayscape,₹89.6 Lac ,3 BHK Apartment for Sale in Kelambakkam Chennai,Super Area1400 sqftUnder ConstructionPoss. by Mar '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
DRA 90 Degrees,₹1.15 Cr ,2 BHK Apartment for Sale in Kovilambakkam Chennai,Super Area1068 sqftTransactionNew PropertyFurnishingUnfurnishedBathroom2Balcony1
,₹67 Lac ,  Plot/Land for Sale in Sriperumbudur Chennai,Plot Area2400 sqftTransactionNew Property
,₹1.77 Cr ,3 BHK Apartment for Sale in Mogappair Chennai,Super Area1364 sqftUnder ConstructionPoss. by Dec '32TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3
,₹55.4 Lac ,  Plot/Land for Sale in Chembarambakkam Chennai,Plot Area1045 sqftTransactionNew Property
,₹38.5 Lac ,2 BHK Apartment for Sale in Thirumazhisai Chennai,Super Area573 sqftUnder ConstructionPoss. by Jun '26TransactionNew PropertyFurnishingUnfurnishedBathroom2
,₹1.32 Cr ,3 BHK Villa for Sale in Padur Chennai,Super Area1700 sqftStatusReady to MoveTransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom3
,₹48.8 Lac ,2 BHK Apartment for Sale in Avadi Chennai,Super Area878 sqftUnder ConstructionPoss. by Oct '26TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2
,₹38 Lac ,2 BHK Apartment for Sale in Thirumazhisai Chennai,Super Area575 sqftUnder ConstructionPoss. by Jul '26TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2
,₹64.6 Lac ,2 BHK Apartment for Sale in Kelambakkam Chennai South,Super Area993 sqftUnder ConstructionPoss. by Aug '28TransactionNew PropertyFurnishingUnfurnishedCar Parking1 CoveredBathroom2
NCC Urban Ivy Towers,₹1.67 Cr ,3 BHK Apartment for Sale in Pallavaram Chennai South,Carpet Area1203 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
Prestige Pallava Gardens,₹1.75 Cr ,3 BHK Apartment for Sale in Pallavaram Chennai South,Carpet Area1018 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
Radiance Eternity,₹3.37 Cr ,4 BHK Apartment for Sale in Thoraipakkam Chennai South,Super Area2711 sqftUnder ConstructionPoss. by May '30TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony2
Sameera New Vision Township,₹1.41 Cr ,  Plot/Land for Sale in East Tambaram Chennai South,Plot Area2666 sqftTransactionNew Property
The World Of Joy,₹70.1 Lac ,3 BHK Apartment for Sale in Siruseri Chennai South,Carpet Area635 sqftUnder ConstructionPoss. by Dec '27TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
Casagrand Avenue Park,₹1.97 Cr ,3 BHK Apartment for Sale in Perungudi Chennai South,Super Area2104 sqftUnder ConstructionPoss. by Jul '26TransactionNew PropertyFurnishingUnfurnishedBathroom3
Gnanasundaram Kokilam,₹1.29 Cr ,3 BHK Apartment for Sale in Velachery Chennai South,Super Area1357 sqftTransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Brigade Altius,₹6.91 Cr ,4 BHK Apartment for Sale in Sholinganallur Chennai South,Super Area5054 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony4
TVS Emerald Verde Vista,₹1.08 Cr ,3 BHK Apartment for Sale in Padur Chennai South,Carpet Area1200 sqftUnder ConstructionPoss. by Dec '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Prestige Pallava Gardens,₹1.75 Cr ,3 BHK Apartment for Sale in Pallavaram Chennai South,Carpet Area1018 sqftUnder ConstructionPoss. by Dec '29TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony1
Godrej Azure,₹2.16 Cr ,4 BHK Apartment for Sale in Padur Chennai South,Super Area2720 sqftUnder ConstructionPoss. by Oct '28TransactionNew PropertyFurnishingUnfurnishedBathroom4Balcony2
Urbanrise Whispers of Sky,₹1.82 Cr ,4 BHK Apartment for Sale in Sholinganallur Chennai South,Carpet Area1063 sqftUnder ConstructionPoss. by Sep '30TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Quoins White Town Villas,₹1.24 Cr ,4 BHK Villa for Sale in Guduvancherry Chennai South,Super Area1780 sqftUnder ConstructionPoss. by Jun '27TransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom3Balcony2
Brigade Altius,₹2.54 Cr ,3 BHK Apartment for Sale in Sholinganallur Chennai South,Super Area1857 sqftUnder ConstructionPoss. by Dec '31TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
Rohaan Daisy Garden,₹82.7 Lac ,3 BHK Builder Floor for Sale in Perumbakkam Chennai South,Super Area1088 sqftTransactionNew PropertyFurnishingUnfurnishedCar Parking1 OpenBathroom2
Provident Bayscape,₹89.6 Lac ,3 BHK Apartment for Sale in Kelambakkam Chennai South,Super Area1400 sqftUnder ConstructionPoss. by Mar '28TransactionNew PropertyFurnishingUnfurnishedBathroom3Balcony2
